gauge_id,p_mean,pet_mean,p_seasonality,frac_snow,aridity,q_mean,runoff_ratio,baseflow_index,q5,q95,zero_q_freq,gauge_lat,gauge_lon,elev_mean,slope_mean,area_gages2,frac_forest,lai_max,lai_diff
1013500,3.12667898699521,1.97155451060917,0.187940258706929,0.313440357191799,0.63055865946247,1.69915450753356,0.543437466590222,0.585225955779508,0.241106126475711,6.37302139711473,0.0,47.23739,-68.58264,250.31,21.64152,2252.7,0.9063,4.1673039455613,3.34073185949204
1022500,3.60812594113621,2.11925594798084,-0.114529586491395,0.245259009248271,0.587356423405076,2.17306214800791,0.602268929482991,0.554478447930409,0.20473435527605,7.12304944397925,0.0,44.60797,-67.93524,92.68,17.79072,573.6,0.9232,4.87139243857226,3.74669161645587
1030500,3.2744052019165,2.04359356605065,0.0473581892739792,0.27701840295357,0.624111385131731,1.82010754402741,0.555858982560286,0.508440712580478,0.107149196809004,6.85488650393008,0.0,45.50097,-68.30596,143.8,12.79195,3676.17,0.8782,4.68519971859885,3.66554296378545
1031500,3.5229568788501,2.07132369609856,0.104090599122482,0.291836473001958,0.587950340389816,2.03024228022694,0.576289279160751,0.445090526012048,0.111345353480538,8.01050285897128,0.0,45.17501,-69.3147,247.8,29.56035,769.05,0.9548,4.90325937325786,3.99084340642749
1047000,3.32314579055441,2.09002387405886,0.147775613761867,0.280118126940736,0.628929335570973,2.18286957464999,0.65686843497944,0.473464930849723,0.196458051727051,8.09514821362971,0.0,44.8692,-69.9551,310.38,49.92122,909.1,0.9906,5.08681076518099,4.30097838703039
1052500,3.73085831622177,2.09642323066393,0.152096802769543,0.352698254049326,0.561914458543945,2.40510460354471,0.644651819954492,0.459699942400979,0.30596536445819,8.66901865964871,0.0,44.87739,-71.05749,615.7,60.05183,383.82,1.0,4.80082996154371,4.12431270006247
1054200,4.06713210130048,2.12835505817933,0.104959634640742,0.299641539662879,0.523306104932953,2.73174157104064,0.671662858004331,0.437049817537408,0.256851228674037,10.0956051354616,0.0,44.39044,-70.97964,472.31,90.13951,180.98,1.0,5.01982728305181,4.28355132001824
1055000,3.49418343600274,2.09323529089665,0.167229040772146,0.306048851694867,0.599062793707035,2.27989748102746,0.652483626799972,0.43813165837399,0.185464951186671,8.44158367295963,0.0,44.64275,-70.58878,423.12,72.81304,250.64,0.9916,5.03003298656618,4.31922587040795
1057000,3.57049965776865,2.13274377823409,0.07913684920672,0.251157672769098,0.597323619284961,1.82355060658392,0.510727007805829,0.474677470804456,0.0781694470346097,6.86609667559735,0.0,44.30399,-70.53968,215.59,32.68445,190.92,0.9415,5.36294869870711,4.58707712668376
1073000,3.50302532511978,2.20761571526352,0.0303700126107958,0.17503243505174,0.63020261356176,1.70319404184962,0.486206602514752,0.501891678728164,0.0658152271358498,5.78423611407704,0.0,43.1487,-70.96506,37.67,4.75043,31.3,0.9008,4.94394974332569,4.03508797625448
